,date,positiveIncrease,State
19505,3/7/2020,0,Alabama
19454,3/8/2020,0,Alabama
19403,3/9/2020,0,Alabama
19352,3/10/2020,0,Alabama
19301,3/11/2020,0,Alabama
19250,3/12/2020,0,Alabama
19199,3/13/2020,1,Alabama
19148,3/14/2020,5,Alabama
19097,3/15/2020,6,Alabama
19041,3/16/2020,16,Alabama
18985,3/17/2020,8,Alabama
18929,3/18/2020,10,Alabama
18873,3/19/2020,22,Alabama
18817,3/20/2020,13,Alabama
18761,3/21/2020,43,Alabama
18705,3/22/2020,14,Alabama
18649,3/23/2020,29,Alabama
18593,3/24/2020,48,Alabama
18537,3/25/2020,68,Alabama
18481,3/26/2020,223,Alabama
18425,3/27/2020,81,Alabama
18369,3/28/2020,109,Alabama
18313,3/29/2020,110,Alabama
18257,3/30/2020,53,Alabama
18201,3/31/2020,122,Alabama
18145,4/1/2020,96,Alabama
18089,4/2/2020,156,Alabama
18033,4/3/2020,199,Alabama
17977,4/4/2020,148,Alabama
17921,4/5/2020,216,Alabama
17865,4/6/2020,172,Alabama
17809,4/7/2020,151,Alabama
17753,4/8/2020,250,Alabama
17697,4/9/2020,400,Alabama
17641,4/10/2020,199,Alabama
17585,4/11/2020,223,Alabama
17529,4/12/2020,334,Alabama
17473,4/13/2020,209,Alabama
17417,4/14/2020,142,Alabama
17361,4/15/2020,237,Alabama
17305,4/16/2020,232,Alabama
17249,4/17/2020,185,Alabama
17193,4/18/2020,125,Alabama
17137,4/19/2020,182,Alabama
17081,4/20/2020,188,Alabama
17025,4/21/2020,206,Alabama
16969,4/22/2020,234,Alabama
16913,4/23/2020,313,Alabama
16857,4/24/2020,54,Alabama
16801,4/25/2020,305,Alabama
16745,4/26/2020,133,Alabama
16689,4/27/2020,229,Alabama
16633,4/28/2020,188,Alabama
16577,4/29/2020,155,Alabama
16521,4/30/2020,177,Alabama
16465,5/1/2020,139,Alabama
16409,5/2/2020,276,Alabama
16353,5/3/2020,291,Alabama
16297,5/4/2020,300,Alabama
16241,5/5/2020,260,Alabama
16185,5/6/2020,296,Alabama
16129,5/7/2020,317,Alabama
16073,5/8/2020,323,Alabama
16017,5/9/2020,346,Alabama
15961,5/10/2020,210,Alabama
15905,5/11/2020,232,Alabama
15849,5/12/2020,301,Alabama
15793,5/13/2020,307,Alabama
15737,5/14/2020,351,Alabama
15681,5/15/2020,248,Alabama
15625,5/16/2020,307,Alabama
15569,5/17/2020,248,Alabama
15513,5/18/2020,315,Alabama
15457,5/19/2020,290,Alabama
15401,5/20/2020,368,Alabama
15345,5/21/2020,375,Alabama
15289,5/22/2020,444,Alabama
15233,5/23/2020,375,Alabama
15177,5/24/2020,389,Alabama
15121,5/25/2020,403,Alabama
15065,5/26/2020,666,Alabama
15009,5/27/2020,447,Alabama
14953,5/28/2020,467,Alabama
14897,5/29/2020,513,Alabama
14841,5/30/2020,536,Alabama
14785,5/31/2020,544,Alabama
14729,6/1/2020,460,Alabama
14673,6/2/2020,279,Alabama
14617,6/3/2020,209,Alabama
14561,6/4/2020,221,Alabama
14505,6/5/2020,315,Alabama
14449,6/6/2020,656,Alabama
