Country/Region,Province/State,time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,ozone,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,Lat,Long,precipAccumulation
US,Alabama,12/31/2019,Clear throughout the day.,clear-day,1577796600,1577832840,0.19,0.0003,0.0013,1577828400,0.04,rain,60.37,1577822160,32.53,1577875080,59.87,1577822160,33.02,1577875080,32.58,0.63,1019.4,5.86,20.02,1577808060,282,0.01,3,1577814600,10,285.2,36.38,1577790780,60.37,1577822160,33.66,1577790300,59.87,1577822160,32.3182,-86.9023,
US,Alabama,1/1/2020,Clear throughout the day.,clear-day,1577883000,1577919240,0.22,0.0008,0.0022,1577868420,0.07,rain,61,1577908680,47.42,1577931420,60.5,1577908680,46.5,1577968380,30.54,0.61,1018.4,2.3,7.52,1577941200,158,0.25,3,1577901300,10,283.2,32.53,1577875080,61,1577908680,33.02,1577875080,60.5,1577908680,32.3182,-86.9023,
US,Alabama,1/2/2020,Rain throughout the day.,rain,1577969400,1578005700,0.25,0.0186,0.0726,1577973180,0.96,rain,68.09,1578013200,61.2,1578060000,68.6,1578013200,62.12,1578060000,54.4,0.88,1011.2,7.9,34.34,1578027600,144,0.94,3,1577987580,9.215,274.6,48.49,1577958660,70.83,1578027600,46.48,1577968320,71.44,1578027600,32.3182,-86.9023,
US,Alabama,1/3/2020,Rain throughout the day.,rain,1578055800,1578092160,0.28,0.0423,0.2437,1578052860,0.98,rain,63.4,1578075900,54.9,1578146400,63.11,1578075120,55.39,1578146400,61.56,0.95,1011.4,5.23,32.49,1578031200,244,0.8,3,1578074220,9.845,260.5,57.89,1578114000,71.36,1578031380,58.58,1578114000,71.99,1578031500,32.3182,-86.9023,
US,Alabama,1/4/2020,Clear throughout the day.,rain,1578142260,1578178620,0.31,0.0016,0.0063,1578150060,0.37,rain,59.38,1578163020,30.98,1578223560,58.88,1578163020,31.47,1578223560,43.43,0.71,1019.7,9.91,30.7,1578171660,294,0.39,4,1578160740,10,278,39.98,1578200400,59.38,1578163020,36.83,1578200400,58.88,1578163020,32.3182,-86.9023,
US,Alabama,1/5/2020,Clear throughout the day.,clear-day,1578228660,1578265020,0.34,0.0005,0.0021,1578222000,0.06,rain,60.45,1578258240,35.99,1578311280,59.95,1578258240,35.93,1578300240,30.59,0.64,1027.8,2.78,10.96,1578258720,254,0,4,1578246660,10,277.8,31.01,1578223140,60.45,1578258240,31.5,1578223140,59.95,1578258240,32.3182,-86.9023,
US,Alabama,1/6/2020,Clear throughout the day.,clear-day,1578315060,1578351480,0.37,0.0001,0.0002,1578355500,0.06,rain,67.34,1578344340,50.55,1578404100,66.84,1578344340,51.04,1578404100,42.38,0.76,1022.4,3.6,17.94,1578373200,201,0.08,4,1578333180,10,275.5,36.19,1578305220,67.34,1578344340,34.85,1578300600,66.84,1578344340,32.3182,-86.9023,
US,Alabama,1/7/2020,Clear throughout the day.,clear-day,1578401460,1578437940,0.41,0.0007,0.0018,1578416520,0.12,rain,62.47,1578425040,31.89,1578484500,61.97,1578425040,32.38,1578484500,37.19,0.57,1023.2,8.67,25.07,1578403860,290,0.17,4,1578419760,10,283,40.03,1578459600,62.47,1578425040,38.67,1578459600,61.97,1578425040,32.3182,-86.9023,
US,Alabama,1/8/2020,Clear throughout the day.,clear-day,1578487860,1578524400,0.44,0.0002,0.0018,1578463200,0.03,rain,63.61,1578517080,34.41,1578563820,63.11,1578517080,31.15,1578566280,29.19,0.57,1030.1,2.66,7.99,1578546000,112,0.01,4,1578506100,10,286.6,31.89,1578484500,63.61,1578517080,32.38,1578484500,63.11,1578517080,32.3182,-86.9023,
US,Alabama,1/9/2020,Mostly cloudy throughout the day.,partly-cloudy-day,1578574260,1578610860,0.48,0.0005,0.0019,1578594900,0.07,rain,68.21,1578599700,58.47,1578653340,67.71,1578599700,58.96,1578653340,38.2,0.62,1028.8,7.28,24.61,1578590820,120,0.45,3,1578591180,10,271.9,34.41,1578563820,68.21,1578599700,31.15,1578566280,67.71,1578599700,32.3182,-86.9023,
